id,media_url,PublicPlace_truth,Photo_truth,TwoPersons_truth,PublicPlace,PublicPlace_execution_time,Photo,Photo_execution_time,TwoPersons,TwoPersons_execution_time
1296476570702487554,http://pbs.twimg.com/media/Ef4ChezX0AAtO9P.png,,,,1.0,0.1998959459888283,0.950896382331848,0.0408925391290517,0.8525390625,0.0107294420970814
1296476565535182848,http://pbs.twimg.com/media/Ef4CkMJX0AA1Hhs.jpg,False,False,False,1.0,0.2173836910224054,8.608462900849823e-12,0.0408925391290517,0.0,0.0107294420970814
1296476565249949696,http://pbs.twimg.com/media/Ef4CkBBXoAMne8W.jpg,False,True,False,1.0,0.1829997299937531,0.4513639509677887,0.0408925391290517,0.0,0.0107294420970814
1296476564998295554,http://pbs.twimg.com/media/Ef4CkNQXgAAPJUL.jpg,True,False,True,1.0,0.1939144769858103,0.9388086199760436,0.0408925391290517,0.84521484375,0.0107294420970814
1296476560074182656,http://pbs.twimg.com/media/Ef4Ci_zUMAQOFk2.jpg,True,True,True,1.0,0.1891878759779501,0.4998312592506408,0.0408925391290517,0.3359375,0.0107294420970814
1296476559663128576,http://pbs.twimg.com/media/Ef4CjlDXsAIxA8z.jpg,False,False,False,1.0,0.2131395600154064,8.108300244202837e-05,0.0408925391290517,0.0,0.0107294420970814
1296476558631342085,http://pbs.twimg.com/media/Ef4CirYXsAAlYgu.jpg,True,True,True,1.0,0.2003822969854809,0.9897298812866212,0.0408925391290517,0.92041015625,0.0107294420970814
1296476558287306752,http://pbs.twimg.com/media/Ef4CjtrXsAIopAp.jpg,False,True,False,0.8171164884000086,0.2009609889937564,0.6798486709594727,0.0408925391290517,0.0,0.0107294420970814
1296476558157402119,http://pbs.twimg.com/media/Ef4CcN3UwAE28KQ.jpg,False,False,False,1.0,0.1589973089867271,1.1147672784872498e-09,0.0408925391290517,0.0,0.0107294420970814
1296476555582025730,http://pbs.twimg.com/media/Ef3-SoKXoAYsoA5.jpg,False,False,False,0.6135526491079676,0.1585332609829493,0.0074233920313417,0.0408925391290517,0.0,0.0107294420970814
1296476554315403268,http://pbs.twimg.com/media/Ef4CiPRXoAIVfNQ.jpg,False,False,False,1.0,0.1537142969900742,0.0005115211242809,0.0408925391290517,0.728515625,0.0107294420970814
1296476548942508032,http://pbs.twimg.com/media/Ef4CjJ_WoAAfT_M.jpg,False,False,False,1.0,0.1549891110043972,0.0133592253550887,0.0408925391290517,0.0,0.0107294420970814
1296476548271308803,http://pbs.twimg.com/media/Ef4CjLWXkAE_fp6.jpg,False,False,False,1.0,0.1562069100036751,0.0249477047473192,0.0408925391290517,0.0,0.0107294420970814
1296476543955410950,http://pbs.twimg.com/media/Ef4CgT_XkAQcOVh.jpg,False,False,False,1.0,0.1567213720118161,2.924621655964188e-09,0.0408925391290517,0.0,0.0107294420970814
1296476542944632833,http://pbs.twimg.com/media/Ef4Ci5KWoAAAWGN.jpg,False,True,False,0.8141423996143625,0.1426625330059323,0.9984014630317688,0.0408925391290517,0.0,0.0107294420970814
1296476542395129856,http://pbs.twimg.com/media/Ef4BU6oWAAAN6AS.jpg,False,False,False,1.0,0.1475945090060122,0.0118282856419682,0.0408925391290517,0.0,0.0107294420970814
1296476542235824128,http://pbs.twimg.com/media/Ef32Y5uWoAYfHCV.jpg,False,False,False,1.0,0.1397101499896962,7.330396329052746e-05,0.0408925391290517,0.0,0.0107294420970814
1296476538020519939,http://pbs.twimg.com/media/Ef4BqyfWAAECILD.jpg,False,False,False,1.0,0.1343935850018169,2.203402083011952e-08,0.0408925391290517,0.0,0.0107294420970814
1296476533067001859,http://pbs.twimg.com/media/Ef4Ch-sXsAU1bDv.jpg,True,True,False,1.0,0.1440465619962196,0.3874843716621399,0.0408925391290517,0.0,0.0107294420970814
1296476532005896193,http://pbs.twimg.com/media/Ef4Bjh8WkAANZ5A.jpg,False,False,True,,,,,,
1296476531750064139,http://pbs.twimg.com/media/Ef4CiHtXgAAsC0E.jpg,False,False,False,0.9288178544784564,0.1543003930128179,0.0204849913716316,0.0408925391290517,0.0,0.0107294420970814
1296476527270547456,http://pbs.twimg.com/tweet_video_thumb/Ef4ChgBWsAgcwvw.jpg,False,False,False,0.9090416330184854,0.1482690800039563,0.3137561976909637,0.0408925391290517,0.59716796875,0.0107294420970814
1296476526385528834,http://pbs.twimg.com/media/Ef4Ch1pUEAURKzp.jpg,False,False,True,1.0,0.1479441529954783,0.1003596037626266,0.0408925391290517,0.8974609375,0.0107294420970814
1296476520265986048,http://pbs.twimg.com/media/Ef4ChkbWsAE-p_9.jpg,False,False,False,1.0,0.1585622749989852,4.500677164287481e-09,0.0408925391290517,0.0,0.0107294420970814
1296476515824173058,http://pbs.twimg.com/media/Ef4ChQBXgAIUh8b.jpg,False,False,False,1.0,0.1588722660089843,2.8583350797362076e-08,0.0408925391290517,0.0,0.0107294420970814
1296476514058371074,http://pbs.twimg.com/media/Ef4CgZ_UwAEU6u4.jpg,True,True,True,1.0,0.1420679699804168,0.9678847789764404,0.0408925391290517,0.90283203125,0.0107294420970814
1296476507032911874,http://pbs.twimg.com/media/Ef4Cf4xX0AI7Jts.jpg,False,True,True,0.4844930797856376,0.1598032969923224,0.9747888445854188,0.0408925391290517,0.73876953125,0.0107294420970814
1296476506420662274,http://pbs.twimg.com/media/Ef3umgWWsAAIpB3.jpg,False,False,False,0.6824639621451888,0.1604384660022333,3.0929592753636825e-07,0.0408925391290517,0.0,0.0107294420970814
1296476506131136512,http://pbs.twimg.com/media/Ef4CQzxVAAAIODE.jpg,True,True,True,1.0,0.145048134989338,0.988464057445526,0.0408925391290517,0.93994140625,0.0107294420970814
1296476505200111616,http://pbs.twimg.com/media/Ef4CgW0WAAAddlh.jpg,False,True,False,0.7136038135412613,0.1588210799964144,0.9667437672615052,0.0408925391290517,0.255126953125,0.0107294420970814
1296476502276612098,http://pbs.twimg.com/media/Ef4CgdqU4AEWKzd.jpg,False,False,False,1.0,0.1490711399819702,0.0109344543889164,0.0408925391290517,0.0,0.0107294420970814
1296476498745069570,http://pbs.twimg.com/media/Ef4BhioUwAUpdWs.jpg,False,False,False,0.8581401920064348,0.1402152540103998,0.9349254965782166,0.0408925391290517,0.55322265625,0.0107294420970814
1296476496098459648,http://pbs.twimg.com/media/Ef4CfiNWAAE_WwI.jpg,False,True,False,1.0,0.2194219329976476,0.9807764887809752,0.036900389689655,0.0,0.008007489931609
1296476492940148736,http://pbs.twimg.com/media/Ef4CfgBXoAAYgh8.jpg,False,False,False,1.0,0.2277727849723305,0.9611822962760924,0.036900389689655,0.56689453125,0.008007489931609
