id,url,answers,positive_answers
1296476565535182848,http://pbs.twimg.com/media/Ef4CkMJX0AA1Hhs.jpg,5,1
1296476565249949696,http://pbs.twimg.com/media/Ef4CkBBXoAMne8W.jpg,5,4
1296476564998295554,http://pbs.twimg.com/media/Ef4CkNQXgAAPJUL.jpg,5,3
1296476560074182656,http://pbs.twimg.com/media/Ef4Ci_zUMAQOFk2.jpg,5,5
1296476559663128576,http://pbs.twimg.com/media/Ef4CjlDXsAIxA8z.jpg,5,0
1296476558631342085,http://pbs.twimg.com/media/Ef4CirYXsAAlYgu.jpg,5,4
1296476558287306752,http://pbs.twimg.com/media/Ef4CjtrXsAIopAp.jpg,5,4
1296476558157402119,http://pbs.twimg.com/media/Ef4CcN3UwAE28KQ.jpg,5,0
1296476555582025730,http://pbs.twimg.com/media/Ef3-SoKXoAYsoA5.jpg,5,0
1296476554315403268,http://pbs.twimg.com/media/Ef4CiPRXoAIVfNQ.jpg,5,0
1296476548942508032,http://pbs.twimg.com/media/Ef4CjJ_WoAAfT_M.jpg,5,0
1296476548271308803,http://pbs.twimg.com/media/Ef4CjLWXkAE_fp6.jpg,5,0
1296476543955410950,http://pbs.twimg.com/media/Ef4CgT_XkAQcOVh.jpg,5,0
1296476542944632833,http://pbs.twimg.com/media/Ef4Ci5KWoAAAWGN.jpg,5,5
1296476542395129856,http://pbs.twimg.com/media/Ef4BU6oWAAAN6AS.jpg,5,0
1296476542235824128,http://pbs.twimg.com/media/Ef32Y5uWoAYfHCV.jpg,5,0
1296476538020519939,http://pbs.twimg.com/media/Ef4BqyfWAAECILD.jpg,5,0
1296476533067001859,http://pbs.twimg.com/media/Ef4Ch-sXsAU1bDv.jpg,5,4
1296476532005896193,http://pbs.twimg.com/media/Ef4Bjh8WkAANZ5A.jpg,5,0
1296476531750064139,http://pbs.twimg.com/media/Ef4CiHtXgAAsC0E.jpg,5,0
1296476527270547456,http://pbs.twimg.com/tweet_video_thumb/Ef4ChgBWsAgcwvw.jpg,5,2
1296476526385528834,http://pbs.twimg.com/media/Ef4Ch1pUEAURKzp.jpg,5,1
1296476520265986048,http://pbs.twimg.com/media/Ef4ChkbWsAE-p_9.jpg,5,0
1296476515824173058,http://pbs.twimg.com/media/Ef4ChQBXgAIUh8b.jpg,5,0
1296476514058371074,http://pbs.twimg.com/media/Ef4CgZ_UwAEU6u4.jpg,5,5
1296476507032911874,http://pbs.twimg.com/media/Ef4Cf4xX0AI7Jts.jpg,5,5
1296476506420662274,http://pbs.twimg.com/media/Ef3umgWWsAAIpB3.jpg,5,0
1296476506131136512,http://pbs.twimg.com/media/Ef4CQzxVAAAIODE.jpg,5,5
1296476505200111616,http://pbs.twimg.com/media/Ef4CgW0WAAAddlh.jpg,5,4
1296476502276612098,http://pbs.twimg.com/media/Ef4CgdqU4AEWKzd.jpg,5,0
1296476498745069570,http://pbs.twimg.com/media/Ef4BhioUwAUpdWs.jpg,5,1
